--------------------
"Run name","me15di_bmedclab_run4_2.txt"
--------------------
"Average P@20 = ",.7083
"Average CR@20 = ",.3543
"Average F1@20 = ",.4564
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
154,"Niagara_Falls",.4,.7,.65,.6,.575,.56,.0909,.2273,.4091,.5455,.5909,.6364,.1481,.3431,.5021,.5714,.5828,.5957
155,"Golden_Gate_Bridge_in_San_Francisco",.6,.8,.85,.9,.9,.92,.0909,.2273,.2727,.4545,.5455,.6364,.1579,.354,.413,.604,.6792,.7523
156,"Neuschwanstein_Castle",.8,.7,.65,.7667,.8,.82,.12,.24,.32,.52,.6,.64,.2087,.3574,.4289,.6197,.6857,.7189
157,"Christ_Church_Cathedral_Missouri",.2,.4,.3,.3,.475,.56,.04,.16,.24,.36,.48,.52,.0667,.2286,.2667,.3273,.4775,.5393
158,"Mount_Rushmore_in_South_Dakota",1.0,1.0,.95,.9667,.8,.74,.16,.32,.36,.52,.56,.6,.2759,.4848,.5221,.6762,.6588,.6627
159,"Puerta_de_Toledo",.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
160,"Urquhart_Castle",.8,.9,.95,.9667,.975,.98,.0833,.25,.3333,.4167,.4167,.4583,.1509,.3913,.4935,.5823,.5838,.6246
161,"Gare_du_Nord_Paris",1.0,1.0,.95,.9333,.925,.92,.16,.2,.32,.44,.48,.48,.2759,.3333,.4787,.5981,.632,.6309
162,"Newgrange_in_Ireland",.8,.7,.65,.7667,.75,.76,.1667,.25,.4167,.5417,.625,.625,.2759,.3684,.5078,.6348,.6818,.6859
163,"Windmills_at_Kinderdijk",.8,.8,.8,.8667,.825,.84,.16,.24,.32,.44,.48,.52,.2667,.3692,.4571,.5837,.6069,.6424
164,"Conciergerie",1.0,1.0,1.0,1.0,.975,.98,.16,.24,.48,.6,.68,.72,.2759,.3871,.6486,.75,.8012,.8301
165,"Palazzo_Madama",.4,.6,.8,.8333,.8,.72,.0909,.1818,.3636,.5,.6818,.7273,.1481,.2791,.5,.625,.7362,.7236
166,"Split_Rock_Lighthouse",.6,.7,.8,.8667,.9,.88,.08,.2,.44,.48,.6,.6,.1412,.3111,.5677,.6178,.72,.7135
167,"The_Little_Mermaid_Denmark",1.0,1.0,1.0,1.0,1.0,.98,.2143,.3571,.4286,.5714,.5714,.7143,.3529,.5263,.6,.7273,.7273,.8263
168,"Great_Pyramid_of_Giza",.6,.8,.8,.7667,.7,.62,.1333,.3333,.5333,.6667,.7333,.7333,.2182,.4706,.64,.7132,.7163,.6719
169,"Pitti_Palace",.6,.8,.8,.7,.725,.74,.1364,.1364,.2273,.3182,.5,.5455,.2222,.233,.354,.4375,.5918,.628
170,"Georgia_State_Capitol",.6,.4,.5,.6667,.6,.52,.1053,.1579,.2105,.3684,.4737,.5263,.1791,.2264,.2963,.4746,.5294,.5231
171,"Dome_des_Invalides",1.0,1.0,.9,.8667,.9,.92,.16,.2,.36,.4,.64,.72,.2759,.3333,.5143,.5474,.7481,.8078
172,"Reggia_di_Caserta",1.0,1.0,.85,.7333,.725,.7,.12,.28,.28,.36,.48,.56,.2143,.4375,.4212,.4829,.5776,.6222
173,"The_Burj_al_Arab_Hotel",.8,.7,.75,.8333,.875,.9,.16,.28,.44,.6,.68,.72,.2667,.4,.5546,.6977,.7653,.8
174,"Elephanta_Caves",1.0,.8,.7,.5667,.525,.58,.2083,.2917,.375,.4167,.5,.625,.3448,.4275,.4884,.4802,.5122,.6017
175,"Basilica_of_Santa_Croce",1.0,1.0,.95,.9667,.875,.84,.16,.24,.4,.44,.52,.6,.2759,.3871,.563,.6047,.6523,.7
176,"Aachen_Cathedral",.6,.8,.9,.8333,.775,.76,.08,.16,.2,.4,.44,.44,.1412,.2667,.3273,.5405,.5613,.5573
177,"Monument_to_the_Great_Fire_of_London",.2,.4,.25,.2,.325,.36,.04,.12,.16,.2,.4,.48,.0667,.1846,.1951,.2,.3586,.4114
178,"Longmen_Grottoes",.6,.5,.5,.4667,.6,.68,.08,.12,.28,.36,.6,.84,.1412,.1935,.359,.4065,.6,.7516
179,"Louisiana_State_Capitol",.0,.2,.25,.2667,.225,.26,.0,.08,.16,.24,.28,.36,.0,.1143,.1951,.2526,.2495,.3019
180,"The_Great_Sphinx_at_Giza",1.0,1.0,.8,.8667,.875,.84,.08,.24,.28,.4,.48,.6,.1481,.3871,.4148,.5474,.6199,.7
181,"Teatro_Real_Madrid",.2,.2,.4,.3,.25,.24,.0435,.087,.2609,.3043,.3478,.4348,.0714,.1212,.3158,.3022,.2909,.3093
182,"Palacio_de_la_Magdalena",.4,.2,.4,.3,.225,.18,.04,.04,.28,.32,.32,.32,.0727,.0667,.3294,.3097,.2642,.2304
183,"Sowjetisches_Ehrenmal",1.0,1.0,.85,.7,.725,.74,.2,.36,.48,.52,.56,.6,.3333,.5294,.6135,.5967,.6319,.6627
184,"Cathedral_of_Trier",.8,.5,.75,.6667,.65,.7,.12,.16,.4,.6,.68,.8,.2087,.2424,.5217,.6316,.6647,.7467
185,"Saint_Mary_of_the_Flower",.6,.7,.75,.5333,.4,.42,.08,.2,.32,.32,.32,.4,.1412,.3111,.4486,.4,.3556,.4098
186,"Skellig_Michael",1.0,.9,.95,.9667,.975,.92,.2,.24,.4,.56,.64,.72,.3333,.3789,.563,.7092,.7728,.8078
187,"Chicago_Board_of_Trade_Building",.6,.3,.25,.2667,.425,.44,.1364,.1364,.2273,.3182,.4091,.4545,.2222,.1875,.2381,.2902,.4169,.4472
188,"Pont_de_Normandie_France",.8,.8,.75,.6667,.575,.52,.2105,.3684,.4211,.5263,.5263,.5263,.3333,.5045,.5393,.5882,.5496,.5231
189,"Palazzo_Rosso",.6,.3,.25,.1667,.15,.12,.0833,.0833,.1667,.1667,.2083,.2083,.1463,.1304,.2,.1667,.1744,.1523
190,"Piazza_Vittorio_Veneto",.6,.4,.3,.3667,.525,.5,.125,.1875,.3125,.375,.625,.8125,.2069,.2553,.3061,.3708,.5707,.619
191,"Sforza_Castle",1.0,1.0,1.0,.9667,.825,.86,.2,.32,.4,.48,.48,.68,.3333,.4848,.5714,.6415,.6069,.7595
192,"Torres_KIO",.8,.9,.8,.8667,.875,.88,.16,.24,.28,.44,.64,.68,.2667,.3789,.4148,.5837,.7393,.7672
193,"Torre_Picasso",.6,.8,.9,.7667,.8,.84,.0833,.1667,.4167,.5,.7083,.7083,.1463,.2759,.5696,.6053,.7514,.7686
194,"The_Palace_of_Parliament_in_Bucharest",1.0,.9,.95,.9667,.95,.94,.12,.12,.36,.52,.56,.68,.2143,.2118,.5221,.6762,.7046,.7891
195,"Ernest_Hemingway_House",.4,.3,.55,.6667,.7,.7,.08,.12,.36,.52,.6,.68,.1333,.1714,.4352,.5843,.6462,.6899
196,"Castel_dellOvo_Napoli",1.0,.7,.8,.8,.775,.8,.12,.12,.4,.48,.56,.6,.2143,.2049,.5333,.6,.6502,.6857
197,"Villa_Borghese_gardens",1.0,.9,.85,.8333,.8,.78,.12,.28,.4,.52,.52,.6,.2143,.4271,.544,.6404,.6303,.6783
198,"Saint_Marks_Basilica",.8,.9,.95,.8333,.825,.74,.08,.2,.44,.6,.6,.68,.1455,.3273,.6014,.6977,.6947,.7087
199,"Mausoleum_of_the_First_Qin_Emperor",.8,.6,.8,.8667,.9,.92,.16,.24,.44,.56,.64,.72,.2667,.3429,.5677,.6804,.7481,.8078
200,"Mausoleum_of_Hadrian",1.0,1.0,.85,.6667,.65,.6,.1667,.2778,.3889,.5,.5556,.5556,.2857,.4348,.5336,.5714,.5991,.5769
201,"Piazza_de_Ferrari",.8,.9,.75,.6,.575,.66,.2105,.3684,.3684,.3684,.4737,.5263,.3333,.5228,.4941,.4565,.5194,.5856
202,"George_Washington_Carver",.6,.7,.6,.4667,.35,.32,.125,.25,.25,.375,.375,.375,.2069,.3684,.3529,.4158,.3621,.3453
203,"Cathedral_of_Santiago_de_Compostela",.6,.7,.6,.7,.75,.66,.1176,.2941,.4118,.5882,.7059,.7059,.1967,.4142,.4884,.6393,.7273,.6822
204,"Saint-Jacques_Tower",.8,.7,.35,.2667,.2,.16,.0769,.2308,.2308,.2308,.2308,.2308,.1404,.3471,.2781,.2474,.2143,.189
205,"Calakmul_Campeche_Mexico",.2,.3,.2,.1667,.25,.32,.0714,.2143,.2857,.2857,.3571,.6429,.1053,.25,.2353,.2105,.2941,.4273
206,"Bran_Castle_in_Transylvania",1.0,1.0,.95,.9667,.925,.92,.1053,.2632,.4737,.5789,.6842,.7368,.1905,.4167,.6322,.7242,.7866,.8183
207,"Mosteiro_da_Batalha",1.0,1.0,1.0,1.0,1.0,1.0,.2105,.3684,.5789,.6316,.6316,.6316,.3478,.5385,.7333,.7742,.7742,.7742
208,"Wartburg_Castle",1.0,1.0,1.0,.9667,.95,.9,.2,.35,.4,.5,.65,.75,.3333,.5185,.5714,.6591,.7719,.8182
209,"Fujian_Tulou_Fujian_China",1.0,1.0,.9,.7667,.75,.76,.2222,.3333,.6111,.7222,.7222,.7778,.3636,.5,.7279,.7438,.7358,.7688
210,"Alabama_State_Capitol",.6,.5,.65,.5333,.475,.42,.1429,.1905,.3333,.381,.4286,.5238,.2308,.2759,.4407,.4444,.4506,.4662
211,"Palazzo_dAccursio",1.0,1.0,1.0,1.0,1.0,1.0,.1667,.3333,.3889,.3889,.4444,.4444,.2857,.5,.56,.56,.6154,.6154
212,"Casa_Grande_Ruins",.4,.3,.6,.5667,.675,.74,.1176,.1765,.2941,.4706,.5294,.6471,.1818,.2222,.3947,.5142,.5934,.6904
213,"Stravinsky_Fountain",1.0,1.0,.9,.8,.8,.82,.2667,.4667,.6,.6667,.6667,.6667,.4211,.6364,.72,.7273,.7273,.7354
214,"Angel_Falls_Venezuela",1.0,.9,.6,.4,.35,.44,.1765,.2941,.3529,.3529,.3529,.4118,.3,.4433,.4444,.375,.3515,.4254
215,"Statue_of_George_IV",.4,.4,.4,.3,.25,.2,.125,.25,.5,.5,.5,.5,.1905,.3077,.4444,.375,.3333,.2857
216,"Palacio_Barolo",1.0,.9,.95,.8667,.9,.92,.1765,.2941,.4706,.5882,.7059,.7059,.3,.4433,.6294,.7008,.7912,.7988
217,"Bridge_of_Remembrance_Christchurch_New_Zealand",.4,.3,.2,.1667,.125,.1,.1667,.1667,.1667,.25,.25,.25,.2353,.2143,.1818,.2,.1667,.1429
218,"John_A._Roebling_Suspension_Bridge",.8,.7,.8,.5667,.675,.58,.1333,.2667,.4667,.5333,.6667,.7333,.2286,.3862,.5895,.5495,.6708,.6477
219,"Blue_Dome_Santorini",.8,.8,.75,.8333,.825,.82,.25,.4375,.5625,.625,.6875,.75,.381,.5657,.6429,.7143,.75,.7834
